Date,Time,Position Name,Position Type,Company Name,Status,Location,Action Period,CV_CL_RL_CR
06.01.2025,,Junior ABAP Developer,Developer,Company 1,Not selected,Berlin,23.0,1100.0
06.01.2025,,Junior Java Developer,Developer,Company 1,Waiting,Berlin,,1100.0
06.01.2025,,NLP Developer,Machine Learning,Company 2,Not selected,(Belgium/ Remotly )?,29.0,1100.0
06.01.2025,,Junior Software Engineer,Developer,Company 3,Waiting,(Germany/ Remotly),,1100.0
06.01.2025,,Software Development (python),Developer,Company 4,Not selected,Berlin,1.0,1100.0
07.01.2025,,Data Research Speicalist,Machine Learning,Company 5,Not selected,Berlin,1.0,1100.0
07.01.2025,,Developer SAP Data Management,Developer,Company 6,Interview,Mannheim,2.0,1111.0
08.01.2025,,Data Science & ML Engineer,Data Science,Company 7,Not selected,Hamburg,5.0,1011.0
10.01.2025,,Data Analysis & Product Builder,Data Analysis,Company 8,Interview,Berlin,0.0,1000.0
10.01.2025,,Data Scientist,Data Science,Company 9,Waiting,Munich,,1000.0
10.01.2025,,Product Analyst,Data Analysis,Company 10,Not selected,Berlin,,1100.0
12.01.2025,,Junior IT Consultant ( IoT & AI ),Developer,Company 11,Waiting,Berlin,,1011.0
12.01.2025,,Junior Consultant SAP BI,Data Analysis,Company 11,Waiting,Berlin,,1111.0
14.01.2025,,Data Scientist,Data Science,Company 12,Not selected,Frankfurt,84.0,1111.0
14.01.2025,,Graduate Data Scientist,Data Science,Company 13,Waiting,Munich,,1000.0
14.01.2025,,DS & ML Architect,Data Science,Company 11,Not selected,Berlin,1.0,1011.0
16.01.2025,,Junior Data Scientist,Data Science,Company 14,Not selected,Munich,4.0,1011.0
17.01.2025,,ML Engineer,Machine Learning,Company 15,Not selected,"bernau, Brandenburg",1.0,1000.0
17.01.2025,,Data Scientist,Data Science,Company 16,Not selected,Fellbach,11.0,1111.0
17.01.2025,,Data Scientist,Data Science,Company 17,Not selected,Bavaria,3.0,1000.0
17.01.2025,,Junior Software Developer,Developer,Company 18,Not selected,Stuttgart,6.0,1010.0
17.01.2025,,Junior Software Developer Python,Developer,Company 18,Not selected,Karlsruhe ,6.0,1110.0
20.01.2025,,Growth Analysis,Data Analysis,Company 19,Not selected,Berlin,7.0,1000.0
20.01.2025,,Data Scientist,Data Science,Company 20,Not selected,Düsseldorf,25.0,1111.0
20.01.2025,,IDM Analyst,Data Analysis,Company 21,Not selected,Berlin,3.0,1010.0
20.01.2025,,ESM with Qualitrics and DA,Data Analysis,Company 22,Not selected,Berlin,3.0,1011.0
20.01.2025,,Consultant AI & DA/ DS,Data Science,Company 23,Not selected,Berlin,2.0,1111.0
21.01.2025,,Data Engineer,Data Engineer,Company 24,Waiting,Berlin,,1000.0
21.01.2025,,Data Scientist/ AI Eng,Data Science,Company 25,Not selected,Berlin,6.0,1111.0
21.01.2025,,Data Scientist,Data Science,Company 26,Not selected,Berlin,10.0,1111.0
22.01.2025,,Junior Applied Scientist (Payments),Data Science,Company 27,Waiting,Berlin,,1111.0
22.01.2025,,Consultant DS & AI,Data Science,Company 28,Not selected,Berlin,6.0,1111.0
24.01.2025,,Junior Data Ops Eng - Data Sourcing,Data Engineer,Company 29,Not selected,Berlin,20.0,1100.0
25.01.2025,,Junior Python Developer,Developer,Company 30,Waiting,Berlin,,1111.0
26.01.2025,,Data Engineer - Clinical Data Center,Data Engineer,Company 31,Not selected,Berlin,10.0,1111.0
26.01.2025,,AI Eng/ AI Specialist All rounder,Data Engineer,Company 32,Not selected,Hannover,32.0,1011.0
26.01.2025,,Junior Analyst - Health Care Data,Data Analysis,Company 29,Not selected,Hamburg,14.0,1100.0
27.01.2025,,Junior Analyst - Modelled Data,Data Analysis,Company 29,Not selected,Hamburg,28.0,1111.0
27.01.2025,,Data Engineer,Data Engineer,Company 33,Waiting,Berlin,,1100.0
28.01.2025,,Consultant Data Management & Innovations,Developer,Company 6,Waiting,Mannheim,,1111.0
29.01.2025,,PM Data Analytics/ Integration/ Data Lake,Data Analysis,Company 34,Waiting,Frankfurt,,1111.0
31.01.2025,,Junior Python Entwickler,Developer,Company 35,Not selected,Leipzig,5.0,1011.0
01.02.2025,,Junior Developer SAP Cloud Development,Developer,Company 36,Not selected,Walldorf,25.0,1111.0
01.02.2025,,Junior Consultant Digital Analytics,Developer,Company 37,Not selected,Hamburg,17.0,1011.0
03.02.2025,8:00,Data Science Gen AI,Data Science,Company 38,Not selected,Karlsruhe ,4.0,1011.0
03.02.2025,8:30,Junior Software Developer Python,Developer,Company 39,Not selected,Berlin,21.0,1011.0
03.02.2025,9:00,Junior Low Code Developer,Developer,Company 40,Not selected,Berlin,2.0,1111.0
04.02.2025,15:40,Data Engineer,Data Engineer,Company 41,Not selected,Berlin,9.0,1010.0
04.02.2025,16:20,Data Analyst,Data Analysis,Company 42,Waiting,Berlin,,1011.0
04.02.2025,16:25,Data Analyst Internship,Data Analysis,Company 42,Not selected,Berlin,1.0,1011.0
04.02.2025,17:40,Machine Learning Engineer,Machine Learning,Company 43,Not selected,Berlin,9.0,1100.0
04.02.2025,17:50,ML Research Engineer,Machine Learning,Company 44,Not selected,Berlin,16.0,1000.0
04.02.2025,17:55,ML & AI Engineer,Machine Learning,Company 45,Not selected,Cologne,8.0,1100.0
04.02.2025,19:10,Junior Python Developer,Developer,Company 46,Not selected,Munich,3.0,1111.0
04.02.2025,19:15,Machine Learning Scientist,Machine Learning,Company 47,Not selected,Berlin,10.0,1100.0
04.02.2025,19:20,Data Analyst E health,Data Analysis,Company 48,Not selected,Berlin,2.0,1011.0
04.02.2025,19:35,Data Analyst,Data Analysis,Company 49,Not selected,Hamburg,3.0,1000.0
04.02.2025,19:42,Software Developer,Developer,Company 50,Waiting,Berlin,,1100.0
06.02.2025,15:55,Data Science,Data Science,Company 51,Not selected,Berlin,20.0,1111.0
06.02.2025,16:25,ML Engineer Personalization,Machine Learning,Company 52,Not selected,Berlin,5.0,1100.0
06.02.2025,17:00,ML Engineer,Machine Learning,Company 53,Waiting,Berlin,,1111.0
06.02.2025,18:00,Data Analysis & Product Builder,Data Analysis,Company 26,Not selected,Berlin,34.0,1111.0
06.02.2025,18:47,NLP Research Assistant,Machine Learning,Company 54,Not selected,Karlsruhe ,40.0,1111.0
07.02.2025,15:50,Analytics Engineer,Data Engineer,Company 55,Not selected,Berlin,3.0,1000.0
07.02.2025,16:30,Data Analyst - Data Visualisation Squad,Data Analysis,Company 4,Not selected,Berlin,31.0,1100.0
07.02.2025,16:40,Machine Learning Engineer,Machine Learning,Company 56,Not selected,Berlin,7.0,1111.0
07.02.2025,16:55,Python Test Automation Engineer,Developer,Company 57,Waiting,Berlin,,1000.0
07.02.2025,17:10,Junior Data Engineer,Data Engineer,Company 58,Waiting,Frankfurt,,1000.0
10.02.2025,12:30,DA\Decision Scientist Category Management,Data Analysis,Company 59,Not selected,Berlin,3.0,1100.0
10.02.2025,12:50,DA\Decision Scientist Digital Marketing,Data Analysis,Company 59,Not selected,Berlin,9.0,1100.0
20.02.2025,13:55,Junior Software Python Developer focus Gen AI,Developer,Company 36,Not selected,Walldorf,1.0,1111.0
20.02.2025,14:10,Developer Graduate,Developer,Company 60,Not selected,Germany,25.0,1101.0
20.02.2025,14:15,Data Analysis,Data Analysis,Company 61,Waiting,Germany,,1000.0
20.02.2025,19:05,Data Science focus Data Eng,Data Engineer,Company 62,Not selected,Lingen,6.0,1011.0
20.02.2025,19:10,Software Developer,Developer,Company 62,Not selected,Lingen,13.0,1011.0
20.02.2025,19:55,Junior Analytics Engineer,Data Analysis,Company 21,Not selected,Berlin,14.0,1111.0
20.02.2025,20:50,Junior CX/UX Designer,Developer,Company 63,Not selected,Berlin,29.0,1111.0
20.02.2025,21:15,AI ML Engineer,Machine Learning,Company 64,Not selected,Berlin,21.0,1111.0
20.02.2025,21:25,Junior Business Analyst,Data Analysis,Company 65,Not selected,Frankfurt,7.0,1000.0
02.03.2025,22:50,Consultant AI & Analytics,Data Engineer,Company 66,Waiting,Frankfurt,,1111.0
